ID,DATE4,PROGRAM,TPE,DIRECT,INDIRECT,N,NUMBER,REF
MS TPE 1: Engaging a,2016Q1,MS-TRAD,TPE 1: Engaging and Supporting All Students,1.45,2.62,17,1,1
MS 1.1  Apply knowle,2016Q1,MS-TRAD,1.1  Apply knowledge of students to engage them in learning.  ,1.62,2.42,55,1.1,2
MS 1.2  Maintain ong,2016Q1,MS-TRAD,1.2  Maintain ongoing communication with students and families,3.15,3.33,83,1.2,3
MS 1.3  Connect subj,2016Q1,MS-TRAD,1.3  Connect subject matter to real-life contexts,1.02,3.42,64,1.3,4
MS 1.4  Use… appropr,2016Q1,MS-TRAD,1.4  Use… appropriate instructional strategies… within the Classroom,2.66,2.5,29,1.4,5
MS 1.5  Promote stud,2016Q1,MS-TRAD,1.5  Promote students' critical and creative thinking,1.56,3.62,83,1.5,6
MS 1.6  Provide a su,2016Q1,MS-TRAD,1.6  Provide a supportive learning environment,3.93,1.84,75,1.6,7
MS 1.7  Provide stud,2016Q1,MS-TRAD,1.7  Provide students to access  visual and performing arts,1.86,2.41,96,1.7,8
MS 1.8  Monitor stud,2016Q1,MS-TRAD,1.8  Monitor student learning and adjust instruction,1.32,3.94,50,1.8,9
MS TPE 2: Creating a,2016Q1,MS-TRAD,TPE 2: Creating and Maintaining Effective Environments for Student Learning,1.94,2.4,20,2,10
MS 2.1  Promote stud,2016Q1,MS-TRAD,2.1  Promote students' social-emotional growth,3.58,2.82,40,2.1,11
MS 2.2  Create learn,2016Q1,MS-TRAD,2.2  Create learning environments… that promote productive student learning,2.26,3.4,29,2.2,12
"MS 2.3  Establish, m",2016Q1,MS-TRAD,"2.3  Establish, maintain, and monitor inclusive learning environments ",3.09,3.46,58,2.3,13
MS 2.4  Know how to ,2016Q1,MS-TRAD,2.4  Know how to access resources to support students,3.06,3.51,81,2.4,14
MS 2.5  Maintain hig,2016Q1,MS-TRAD,2.5  Maintain high expectations for learning,1.93,2.6,26,2.5,15
MS 2.6  Establish an,2016Q1,MS-TRAD,2.6  Establish and maintain clear expectations for positive classroom behavior,3.5,2.04,100,2.6,16
MS TPE 3: Understand,2016Q1,MS-TRAD,TPE 3: Understanding and Organizing Subject Matter for Student Learning,1.97,3.18,52,3,17
MS 3.1  Demonstrate ,2016Q1,MS-TRAD,3.1  Demonstrate knowledge of subject matter,3.52,2.71,77,3.1,18
MS 3.2  Use knowledg,2016Q1,MS-TRAD,3.2  Use knowledge about students and learning goals to organize the curriculum,2.19,3.35,88,3.2,19
MS 3.3  Plan instruc,2016Q1,MS-TRAD,3.3  Plan instruction consistent with current subject-specific pedagogy,1.36,3.71,99,3.3,20
MS 3.4  Individually,2016Q1,MS-TRAD,3.4  Individually plan for effective subject matter instruction…,1.53,1.08,51,3.4,21
MS 3.5  Adapt and su,2016Q1,MS-TRAD,3.5  Adapt and support the acquisition of academic language,2.76,3.46,20,3.5,22
MS 3.6  Use a range ,2016Q1,MS-TRAD,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,1.91,3.13,35,3.6,23
MS 3.7  Model and de,2016Q1,MS-TRAD,3.7  Model and develop digital literacy by using technology,3.96,1.07,93,3.7,24
MS 3.8  Demonstrate ,2016Q1,MS-TRAD,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,1.06,2.49,48,3.8,25
MS TPE 4: Planning I,2016Q1,MS-TRAD,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,1.11,3.3,91,4,26
MS 4.1  Locate and a,2016Q1,MS-TRAD,4.1  Locate and apply information about students' current academic status,3.4,1.13,22,4.1,27
MS 4.2  Understand t,2016Q1,MS-TRAD,4.2  Understand the range and characteristics of typical and atypical child development,1.85,3.63,90,4.2,28
MS 4.3  Design instr,2016Q1,MS-TRAD,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,2.55,3.15,97,4.3,29
"MS 4.4  Plan, design",2016Q1,MS-TRAD,"4.4  Plan, design, implement and monitor instruction",1.2,1.69,100,4.4,30
MS 4.5  Promote stud,2016Q1,MS-TRAD,4.5  Promote student success,1.56,1.14,80,4.5,31
MS 4.6  Access resou,2016Q1,MS-TRAD,4.6  Access resources for planning and instruction,3.2,3.53,88,4.6,32
MS 4.7  Plan instruc,2016Q1,MS-TRAD,4.7  Plan instruction that promotes a range of communication strategies,1.5,3.56,62,4.7,33
MS 4.8  Use digital ,2016Q1,MS-TRAD,4.8  Use digital tools and learning technologies across learning environments,3.9,1.53,44,4.8,34
MS TPE 5: Assessing ,2016Q1,MS-TRAD,TPE 5: Assessing Student Learning,3.13,1.23,22,5,35
MS 5.1  Apply knowle,2016Q1,MS-TRAD,5.1  Apply knowledge ofappropriate uses of different types of assessments,1.47,2.18,30,5.1,36
MS 5.2  Collect and ,2016Q1,MS-TRAD,5.2  Collect and analyze assessment data from multiple,2.71,1.01,72,5.2,37
MS 5.3  Involve all ,2016Q1,MS-TRAD,5.3  Involve all students in self-assessment and reflection on their learning goals,2.08,2.85,40,5.3,38
MS 5.4  Use technolo,2016Q1,MS-TRAD,5.4  Use technology as appropriate to support assessment administration,2.62,2.47,48,5.4,39
MS 5.5  Use assessme,2016Q1,MS-TRAD,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,3.53,3.71,32,5.5,40
MS 5.6  Work with sp,2016Q1,MS-TRAD,5.6  Work with specialists to interpret assessment results,2.54,2.47,24,5.6,41
MS 5.7  Interpret En,2016Q1,MS-TRAD,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,3.05,2.99,88,5.7,42
MS 5.8  Use assessme,2016Q1,MS-TRAD,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",3.64,1.32,43,5.8,43
MS TPE 6: Developing,2016Q1,MS-TRAD,TPE 6: Developing as a Professional Educator,3.44,2.52,35,6,44
MS 6.1  Reflect on t,2016Q1,MS-TRAD,6.1  Reflect on their own teaching practice,2.57,1.63,17,6.1,45
MS 6.2  Recognize th,2016Q1,MS-TRAD,6.2  Recognize their own values and implicit and explicit biases,1.75,1.07,52,6.2,46
MS 6.3  Establish pr,2016Q1,MS-TRAD,6.3  Establish professional learning goals to improve their practice…,3.58,1.05,36,6.3,47
